Symbol,LTP,BidPrice,BidQty,AskPrice,AskQty,TotalBuyQty,TotalSellQty,LiquidityScore,SMMA20,SMMA120,Signal,Current_LTQ,LTQ_2min_avg,LTQ_5min_avg,LTQ_Spike_Ratio,ETQ_5min,ETQ_20min,ETQ_60min,Average_LTP_20min,Average_LTP_60min,BidAsk_Imbalance,Volume,Return_1,Return_5,ML_Probability,ML_Confidence,ML_Decision,AI_Reason,base_symbol,token,symbol,name,exch_seg
NSE:NIFTY1-EQ,269.96,269.92,2,269.96,29,364465,431418,795883,270.52,271.86,NONE,16,16.0,16.0,1.0,16,16,16,269.96,269.96,-0.871,63299,0,0,0.6441,64.41,ACCEPT,No new SMMA crossover,NIFTY1,18102,NIFTY1-EQ,NIFTY1,NSE
NSE:NIFTYBETA-EQ,269.85,269.7,36,269.85,99941,168140,339948,508088,270.32,271.66,NONE,7,7.0,7.0,1.0,7,7,7,269.85,269.85,-0.9993,6797,0,0,0.1561,15.61,AVOID,No new SMMA crossover,NIFTYBETA,10511,NIFTYBETA-EQ,NIFTYBETA,NSE
NSE:AFCONS-EQ,269.8,269.8,1,269.85,1,188761,505288,694049,269.37,269.34,NONE,1,1.0,1.0,1.0,1,1,1,269.8,269.8,0.0,3769781,0,0,0.6185,61.85,ACCEPT,No new SMMA crossover,AFCONS,25977,AFCONS-EQ,AFCONS,NSE
NSE:NIFTYAXIS-EQ,269.15,269.25,37,269.39,9353,125158,200485,325643,269.78,271.2,NONE,12,12.0,12.0,1.0,12,12,12,269.15,269.15,-0.9921,2044,0,0,0.2342,23.42,AVOID,No new SMMA crossover,NIFTYAXIS,21252,NIFTYAXIS-EQ,NIFTYAXIS,NSE
NSE:PFOCUS-EQ,266.1,266.0,21,266.1,90,61567,117681,179248,272.36,282.71,NONE,185,185.0,185.0,1.0,185,185,185,266.1,266.1,-0.6216,582836,0,0,0.5729,57.29,ACCEPT,No new SMMA crossover,PFOCUS,13496,PFOCUS-EQ,PFOCUS,NSE
NSE:NIFTYETF-EQ,264.64,264.51,96,264.66,41903,614894,508631,1123525,265.12,266.5,NONE,175,175.0,175.0,1.0,175,175,175,264.64,264.64,-0.9954,152960,0,0,0.3036,30.36,AVOID,No new SMMA crossover,NIFTYETF,6353,NIFTYETF-EQ,NIFTYETF,NSE
NSE:BLS-EQ,263.39,263.2,72,263.3,5,136465,504520,640985,262.4,259.96,NONE,30,30.0,30.0,1.0,30,30,30,263.39,263.39,0.8701,760922,0,0,0.6553,65.53,ACCEPT,No new SMMA crossover,BLS,17279,BLS-EQ,BLS,NSE
NSE:KPEL-EQ,263.0,263.05,208,263.25,128,88428,106611,195039,264.59,282.89,NONE,122,122.0,122.0,1.0,122,122,122,263.0,263.0,0.2381,376559,0,0,0.4777,47.77,AVOID,No new SMMA crossover,KPEL,27079,KPEL-EQ,KPEL,NSE
NSE:SETFNIF50-EQ,261.96,261.9,4089,261.96,43,674103,629082,1303185,262.44,263.72,NONE,1,1.0,1.0,1.0,1,1,1,261.96,261.96,0.9792,307573,0,0,0.4747,47.47,AVOID,No new SMMA crossover,SETFNIF50,10176,SETFNIF50-EQ,SETFNIF50,NSE
NSE:GODAVARIB-EQ,261.15,261.0,29,261.15,18,54695,144486,199181,262.36,259.15,NONE,1,1.0,1.0,1.0,1,1,1,261.15,261.15,0.234,320368,0,0,0.6576,65.76,ACCEPT,No new SMMA crossover,GODAVARIB,25941,GODAVARIB-EQ,GODAVARIB,NSE
NSE:VIYASH-EQ,260.65,260.5,13,260.7,92,194925,512971,707896,261.5,268.57,NONE,6,6.0,6.0,1.0,6,6,6,260.65,260.65,-0.7524,1225471,0,0,0.3072,30.72,AVOID,No new SMMA crossover,VIYASH,14296,VIYASH-EQ,VIYASH,NSE
NSE:GODIGIT-EQ,260.55,260.55,642,260.6,66,64322,106364,170686,262.27,265.84,NONE,3,3.0,3.0,1.0,3,3,3,260.55,260.55,0.8136,103271,0,0,0.4115,41.15,AVOID,No new SMMA crossover,GODIGIT,23799,GODIGIT-EQ,GODIGIT,NSE
NSE:BELRISE-EQ,259.8,259.8,242,259.88,26,256795,823144,1079939,259.63,254.1,NONE,70,70.0,70.0,1.0,70,70,70,259.8,259.8,0.806,6550866,0,0,0.4092,40.92,AVOID,No new SMMA crossover,BELRISE,757102,BELRISE-EQ,BELRISE,NSE
NSE:UEL-EQ,259.47,0.0,0,259.47,91658,0,113055,113055,261.6,264.5,NONE,29,29.0,29.0,1.0,29,29,29,259.47,259.47,-1.0,10985,0,0,0.8214,82.14,ACCEPT,No new SMMA crossover,UEL,23507,UEL-EQ,UEL,NSE
NSE:NIFTYADD-EQ,256.29,256.17,3034,256.36,5,411259,456488,867747,256.81,258.1,NONE,10,10.0,10.0,1.0,10,10,10,256.29,256.29,0.9967,21996,0,0,0.6277,62.77,ACCEPT,No new SMMA crossover,NIFTYADD,7451,NIFTYADD-EQ,NIFTYADD,NSE
NSE:WANBURY-EQ,255.9,255.85,1,255.9,299,80448,125421,205869,253.41,253.12,NONE,1,1.0,1.0,1.0,1,1,1,255.9,255.9,-0.9933,2086580,0,0,0.2305,23.05,AVOID,No new SMMA crossover,WANBURY,14063,WANBURY-EQ,WANBURY,NSE
NSE:APTUS-EQ,255.8,255.8,118,255.85,69,121259,134329,255588,254.97,256.46,NONE,2,2.0,2.0,1.0,2,2,2,255.8,255.8,0.262,558471,0,0,0.4261,42.61,AVOID,No new SMMA crossover,APTUS,5435,APTUS-EQ,APTUS,NSE
NSE:MOM50-EQ,254.84,254.68,4,254.82,19645,175689,101310,276999,255.27,256.58,NONE,2,2.0,2.0,1.0,2,2,2,254.84,254.84,-0.9996,5694,0,0,0.0678,6.78,AVOID,No new SMMA crossover,MOM50,19289,MOM50-EQ,MOM50,NSE
NSE:TBZ-EQ,252.3,252.25,1,252.3,113,137197,370257,507454,257.17,272.06,NONE,1,1.0,1.0,1.0,1,1,1,252.3,252.3,-0.9825,2137170,0,0,0.2564,25.64,AVOID,No new SMMA crossover,TBZ,27037,TBZ-EQ,TBZ,NSE
NSE:FLAIR-EQ,249.9,249.6,8,249.9,334,177980,24359,202339,248.1,250.55,NONE,4,4.0,4.0,1.0,4,4,4,249.9,249.9,-0.9532,63926,0,0,0.1372,13.72,AVOID,No new SMMA crossover,FLAIR,20372,FLAIR-EQ,FLAIR,NSE
NSE:NIFTYBETF-EQ,249.84,249.83,6797,250.46,99974,201477,192223,393700,250.72,252.02,NONE,6155,6155.0,6155.0,1.0,6155,6155,6155,249.84,249.84,-0.8727,6678,0,0,0.3162,31.62,AVOID,No new SMMA crossover,NIFTYBETF,21959,NIFTYBETF-EQ,NIFTYBETF,NSE
NSE:BANKBARODA-EQ,248.94,248.94,1,248.98,922,856911,1886530,2743441,249.08,248.04,NONE,1,1.0,1.0,1.0,1,1,1,248.94,248.94,-0.9978,5790524,0,0,0.1639,16.39,AVOID,No new SMMA crossover,BANKBARODA,4668,BANKBARODA-EQ,BANKBARODA,NSE
NSE:SHADOWFAX-EQ,247.63,247.46,1,247.56,120,132319,575295,707614,248.9,247.61,NONE,4,4.0,4.0,1.0,4,4,4,247.63,247.63,-0.9835,1811800,0,0,0.2667,26.67,AVOID,No new SMMA crossover,SHADOWFAX,761469,SHADOWFAX-EQ,SHADOWFAX,NSE
NSE:GREENLAM-EQ,246.1,246.25,5,246.55,17,457532,57655,515187,246.24,248.9,NONE,40,40.0,40.0,1.0,40,40,40,246.1,246.1,-0.5455,258977,0,0,0.7474,74.74,ACCEPT,No new SMMA crossover,GREENLAM,6848,GREENLAM-EQ,GREENLAM,NSE
NSE:MANCREDIT-EQ,244.06,244.0,33,244.42,5,111121,25876,136997,244.56,243.38,NONE,1,1.0,1.0,1.0,1,1,1,244.06,244.06,0.7368,22345,0,0,0.6392,63.92,ACCEPT,No new SMMA crossover,MANCREDIT,24823,MANCREDIT-EQ,MANCREDIT,NSE
NSE:EPL-EQ,243.9,243.9,5184,243.92,4,558904,594918,1153822,244.57,235.71,NONE,3000,3000.0,3000.0,1.0,3000,3000,3000,243.9,243.9,0.9985,11671114,0,0,0.4825,48.25,AVOID,No new SMMA crossover,EPL,981,EPL-EQ,EPL,NSE
NSE:MID150BEES-EQ,242.37,242.22,1,242.37,26316,323061,340887,663948,242.38,242.42,NONE,2100,2100.0,2100.0,1.0,2100,2100,2100,242.37,242.37,-0.9999,270940,0,0,0.4814,48.14,AVOID,No new SMMA crossover,MID150BEES,8506,MID150BEES-EQ,MID150BEES,NSE
